target,horizon_h,slice,n,mae,rmse
log_volume,1,val,2216,0.52971,1.00255
log_volume,1,test_full,2159,0.58542,0.91467
log_volume,1,test_prewar,994,0.53585,0.8628
log_volume,1,test_war,1165,0.62772,0.9567
log_volume,3,val,2216,0.53376,1.01013
log_volume,3,test_full,2159,0.5766,0.89502
log_volume,3,test_prewar,994,0.53683,0.86325
log_volume,3,test_war,1165,0.61054,0.92125
log_volume,6,val,2216,0.54153,1.02797
log_volume,6,test_full,2159,0.60213,0.9315
log_volume,6,test_prewar,994,0.55089,0.8761
log_volume,6,test_war,1165,0.64585,0.97629
log_volume,12,val,2216,0.55671,1.05932
log_volume,12,test_full,2159,0.63117,0.9584
log_volume,12,test_prewar,994,0.56826,0.89102
log_volume,12,test_war,1165,0.68484,1.01235
amihud,1,val,2216,0.0001,0.00064
amihud,1,test_full,2159,0.00023,0.00273
amihud,1,test_prewar,994,0.0001,0.0006
amihud,1,test_war,1165,0.00035,0.00367
amihud,3,val,2216,0.0001,0.00063
amihud,3,test_full,2159,0.00023,0.00272
amihud,3,test_prewar,994,0.0001,0.00059
amihud,3,test_war,1165,0.00034,0.00366
amihud,6,val,2216,0.0001,0.00063
amihud,6,test_full,2159,0.00022,0.00272
amihud,6,test_prewar,994,9e-05,0.00059
amihud,6,test_war,1165,0.00034,0.00366
amihud,12,val,2216,0.0001,0.00063
amihud,12,test_full,2159,0.00022,0.00272
amihud,12,test_prewar,994,9e-05,0.00059
amihud,12,test_war,1165,0.00033,0.00366
price_range,1,val,2216,0.11101,0.16154
price_range,1,test_full,2159,0.7184,1.28685
price_range,1,test_prewar,994,0.15449,0.25555
price_range,1,test_war,1165,1.19954,1.73585
price_range,3,val,2216,0.11087,0.16256
price_range,3,test_full,2159,0.71932,1.28595
price_range,3,test_prewar,994,0.15618,0.26145
price_range,3,test_war,1165,1.1998,1.73387
price_range,6,val,2216,0.11188,0.16354
price_range,6,test_full,2159,0.72079,1.28851
price_range,6,test_prewar,994,0.16116,0.27283
price_range,6,test_war,1165,1.19828,1.73589
price_range,12,val,2216,0.11198,0.16356
price_range,12,test_full,2159,0.72425,1.29381
price_range,12,test_prewar,994,0.16491,0.27721
price_range,12,test_war,1165,1.20149,1.74259
