target,horizon_h,slice,n,mae,rmse
log_volume,1,val,1610,0.5535,1.09221
log_volume,1,test_full,1610,0.63506,1.11038
log_volume,1,test_prewar,461,0.53227,0.88613
log_volume,1,test_war,1149,0.6763,1.18852
log_volume,3,val,1610,0.53523,1.10722
log_volume,3,test_full,1610,0.62032,1.00558
log_volume,3,test_prewar,461,0.50268,0.82185
log_volume,3,test_war,1149,0.66751,1.07047
log_volume,6,val,1610,0.53321,1.0961
log_volume,6,test_full,1610,0.58718,0.91764
log_volume,6,test_prewar,461,0.50107,0.81804
log_volume,6,test_war,1149,0.62173,0.95469
log_volume,12,val,1610,0.52303,1.0774
log_volume,12,test_full,1610,0.58101,0.90518
log_volume,12,test_prewar,461,0.49645,0.82534
log_volume,12,test_war,1149,0.61494,0.9353
log_volume,28,val,1610,0.5531,1.12236
log_volume,28,test_full,1610,0.616,0.95787
log_volume,28,test_prewar,461,0.51305,0.83816
log_volume,28,test_war,1149,0.65731,1.00188
amihud,1,val,1610,9e-05,0.00061
amihud,1,test_full,1610,0.00024,0.00313
amihud,1,test_prewar,461,7e-05,0.00044
amihud,1,test_war,1149,0.00031,0.00369
amihud,3,val,1610,8e-05,0.00061
amihud,3,test_full,1610,0.00024,0.00312
amihud,3,test_prewar,461,6e-05,0.00041
amihud,3,test_war,1149,0.00031,0.00368
amihud,6,val,1610,8e-05,0.00061
amihud,6,test_full,1610,0.00024,0.00311
amihud,6,test_prewar,461,6e-05,0.00041
amihud,6,test_war,1149,0.00031,0.00367
amihud,12,val,1610,8e-05,0.00061
amihud,12,test_full,1610,0.00023,0.0031
amihud,12,test_prewar,461,6e-05,0.00041
amihud,12,test_war,1149,0.00031,0.00366
amihud,28,val,1610,8e-05,0.00061
amihud,28,test_full,1610,0.00023,0.0031
amihud,28,test_prewar,461,6e-05,0.00042
amihud,28,test_war,1149,0.0003,0.00366
price_range,1,val,1610,0.10673,0.17827
price_range,1,test_full,1610,0.8085,1.40087
price_range,1,test_prewar,461,0.18206,0.28755
price_range,1,test_war,1149,1.05985,1.64823
price_range,3,val,1610,0.10444,0.17764
price_range,3,test_full,1610,0.81199,1.40398
price_range,3,test_prewar,461,0.18725,0.30304
price_range,3,test_war,1149,1.06265,1.65081
price_range,6,val,1610,0.10438,0.17797
price_range,6,test_full,1610,0.82098,1.41494
price_range,6,test_prewar,461,0.18619,0.31232
price_range,6,test_war,1149,1.07568,1.66318
price_range,12,val,1610,0.10499,0.17812
price_range,12,test_full,1610,0.82871,1.42042
price_range,12,test_prewar,461,0.1909,0.31848
price_range,12,test_war,1149,1.08461,1.66925
price_range,28,val,1610,0.10524,0.17813
price_range,28,test_full,1610,0.84261,1.43016
price_range,28,test_prewar,461,0.20625,0.34388
price_range,28,test_war,1149,1.09793,1.67886
